gene_id	normalized_counts
Cgl1981	155.23
Cgl1980	99.27
Cgl1979	46.28
Cgl1978	136.53
Cgl1977	196.3
Cgl1976	2272.7
Cgl1975	1525.15
Cgl1974	96.42
Cgl1973	237.45
Cgl1972	95.07
Cgl1971	553.57
Cgl1970	619.16
Cgl1969	65.08
Cgl1968	195.62
Cgl1967	938.71
Cgl1965	409.85
Cgl1964	96.74
Cgl1963	166.98
Cgl1962	468.57
Cgl1961	762.47
Cgl1960	23.62
Cgl1959	33.16
Cgl1958	18.48
Cgl1957	28.27
Cgl1956	97.56
Cgl1955	67.33
Cgl1954	8.99
Cgl1953	515.74
Cgl1952	833.72
Cgl1951	1499.18
Cgl1950	1781.66
Cgl1949	101.94
Cgl1948	111.44
Cgl1947	109
Cgl1945	42.11
Cgl1944	67.92
Cgl1943	186.27
Cgl1942	192.16
Cgl1941	321.93
Cgl1940	157.23
Cgl1939	51.47
Cgl1938	199.86
Cgl1937	2664.08
Cgl1936	2743.83
Cgl1935	2280.46
Cgl1934	2984.84
Cgl1933	1547.45
Cgl1932	61.37
Cgl1931	49.76
Cgl1930	229.16
Cgl1929	34.91
Cgl1928	32.11
Cgl1927	54.23
Cgl1926	97.84
Cgl1925	143.58
Cgl1924	86.79
Cgl1923	1048.05
Cgl1922	10.46
Cgl1921	341.6
Cgl1920	636.9
Cgl1919	823.64
Cgl1918	38.18
Cgl1917	59.4
Cgl1916	263.57
Cgl1915	63.87
Cgl1914	75.06
Cgl1913	229.88
Cgl1912	215.2
Cgl1911	686.58
Cgl1909	149.48
Cgl1908	387.84
Cgl1907	92.81
Cgl1906	64.82
Cgl1905	77.18
Cgl1904	251.66
Cgl1903	180.01
Cgl1902	141.49
Cgl1901	494.89
Cgl1900	676.02
Cgl1899	165.85
Cgl1898	564.13
Cgl1897	256.32
Cgl1896	55.75
Cgl1895	12.95
Cgl1894	9.67
Cgl1893	13.24
Cgl1892	4.22
Cgl1891	104.24
Cgl1886	15.85
Cgl1881	22.87
Cgl1847;Cgl1889	2.93
Cgl1846	0.34
Cgl1845	52.04
Cgl1844	10.49
Cgl1843	11.76
Cgl1842	25.02
Cgl1841	12.05
Cgl1840	36.51
